Train_No,Start_Time,End_Time,Journey_Duration_Hours
11448,13:10:00,14:25:00,1.25
11449,06:30:00,15:20:00,8.83
11450,21:55:00,07:25:00,9.5
11463,09:30:00,15:10:00,5.67
11464,12:00:00,17:45:00,5.75
11465,09:30:00,18:00:00,8.5
11466,10:00:00,17:45:00,7.75
11651,15:30:00,22:25:00,6.92
11652,04:55:00,11:55:00,7.0
11701,05:40:00,20:30:00,14.83
11702,04:10:00,19:35:00,15.42
11703,23:10:00,16:05:00,16.92
11704,20:10:00,12:15:00,16.08
11801,17:25:00,22:30:00,5.08
11802,05:10:00,10:05:00,4.92
11901,05:30:00,12:40:00,7.17
11902,14:55:00,21:35:00,6.67
12001,15:00:00,23:30:00,8.5
12002,06:00:00,14:25:00,8.42
12003,15:35:00,22:15:00,6.67
12004,06:10:00,12:40:00,6.5
12005,17:15:00,21:20:00,4.08
12006,06:15:00,10:20:00,4.08
12007,06:00:00,13:00:00,7.0
12008,14:15:00,21:25:00,7.17
12009,06:25:00,12:45:00,6.33
12010,14:40:00,21:20:00,6.67
12011,07:40:00,11:45:00,4.08
12012,17:45:00,21:55:00,4.17
12013,16:30:00,22:30:00,6.0
12014,05:00:00,11:00:00,6.0
12015,06:05:00,12:45:00,6.67
12016,15:45:00,22:40:00,6.92
12017,06:45:00,12:40:00,5.92
12018,17:00:00,22:45:00,5.75
12019,06:05:00,13:15:00,7.17
12020,13:45:00,21:30:00,7.75
12021,06:20:00,13:05:00,6.75
12022,13:45:00,20:50:00,7.08
12023,14:05:00,22:45:00,8.67
12024,05:35:00,13:25:00,7.83
12025,05:50:00,14:20:00,8.5
12026,14:45:00,23:10:00,8.42
12027,17:30:00,22:30:00,5.0
12028,06:00:00,11:00:00,5.0
12029,07:20:00,13:45:00,6.42
12030,16:50:00,23:05:00,6.25
12031,07:20:00,13:45:00,6.42
12032,16:50:00,23:05:00,6.25
12033,06:00:00,11:20:00,5.33
12034,15:50:00,20:45:00,4.92
12035,07:05:00,10:35:00,3.5
12036,17:40:00,21:20:00,3.67
12037,07:00:00,12:25:00,5.42
12038,16:40:00,22:10:00,5.5
12039,15:35:00,21:05:00,5.5
12040,06:00:00,11:40:00,5.67
12041,14:15:00,22:30:00,8.25
12042,05:30:00,13:35:00,8.08
12043,07:00:00,14:05:00,7.08
12044,15:00:00,22:10:00,7.17
12045,19:15:00,22:45:00,3.5
12046,12:00:00,15:25:00,3.42
12047,16:20:00,22:50:00,6.5
12048,04:00:00,11:20:00,7.33
12049,17:50:00,19:30:00,1.67
12050,08:10:00,09:50:00,1.67
12051,05:25:00,14:05:00,8.67
12052,14:30:00,23:05:00,8.58
12053,14:45:00,22:05:00,7.33
12054,06:50:00,14:10:00,7.33
12055,15:20:00,21:10:00,5.83
12056,05:05:00,11:15:00,6.17
12057,14:35:00,22:10:00,7.58
12058,05:00:00,12:00:00,7.0
12059,05:55:00,12:30:00,6.58
12060,13:15:00,20:00:00,6.75
12061,17:40:00,22:55:00,5.25
12062,05:30:00,11:00:00,5.5
12065,05:45:00,12:35:00,6.83
12066,15:30:00,22:25:00,6.92
12067,06:30:00,13:20:00,6.83
12068,14:30:00,21:20:00,6.83
12069,06:25:00,13:25:00,7.0
12070,15:00:00,22:00:00,7.0
12071,14:00:00,21:30:00,7.5
12072,04:45:00,12:30:00,7.75
12073,13:25:00,20:20:00,6.92
12074,06:00:00,12:40:00,6.67
12075,13:40:00,21:05:00,7.42
12076,06:00:00,13:00:00,7.0
12077,07:35:00,14:45:00,7.17
12078,15:20:00,22:35:00,7.25
12079,06:00:00,13:25:00,7.42
12080,14:00:00,21:25:00,7.42
12081,04:50:00,14:00:00,9.17
12082,14:40:00,23:50:00,9.17
12083,14:50:00,21:15:00,6.42
12084,07:10:00,13:40:00,6.5
12085,12:10:00,21:15:00,9.08
12086,05:00:00,13:55:00,8.92
12087,05:00:00,11:00:00,6.0
12088,15:20:00,21:40:00,6.33
12101,20:35:00,03:35:00,7.0
12102,22:50:00,05:50:00,7.0
12103,16:15:00,17:10:00,0.92
12104,06:30:00,08:05:00,1.58
12105,19:05:00,11:15:00,16.17
12106,14:50:00,07:00:00,16.17
12107,16:25:00,15:10:00,22.75
12108,22:45:00,23:00:00,0.25
12109,18:15:00,22:50:00,4.58
12110,06:02:00,10:45:00,4.72
12111,19:55:00,08:05:00,12.17
12112,19:05:00,06:25:00,11.33
12113,17:40:00,09:25:00,15.75
12114,18:35:00,09:45:00,15.17
12115,22:45:00,06:50:00,8.08
12116,22:45:00,06:50:00,8.08
12117,15:00:00,19:25:00,4.42
12118,08:35:00,13:00:00,4.42
12119,05:30:00,08:15:00,2.75
12120,18:30:00,21:40:00,3.17
12121,19:10:00,09:05:00,13.92
12122,17:25:00,07:45:00,14.33
12123,17:10:00,20:25:00,3.25
12124,07:15:00,10:25:00,3.17
12125,16:25:00,19:50:00,3.42
12126,07:50:00,11:15:00,3.42
12127,06:40:00,09:57:00,3.28
12128,17:55:00,21:05:00,3.17
12129,18:25:00,04:10:00,9.75
12130,21:50:00,06:50:00,9.0
12131,21:45:00,03:45:00,6.0
12132,22:25:00,04:30:00,6.08
12133,22:02:00,12:40:00,14.63
12134,13:55:00,04:25:00,14.5
12135,17:40:00,09:25:00,15.75
12136,18:35:00,09:45:00,15.17
12137,19:35:00,05:50:00,10.25
12138,21:40:00,07:35:00,9.92
12139,15:00:00,06:10:00,15.17
12140,21:00:00,12:00:00,15.0
12141,23:35:00,04:00:00,4.42
12142,11:05:00,15:15:00,4.17
12143,16:40:00,20:00:00,3.33
12144,23:55:00,04:10:00,4.25
12145,20:35:00,07:30:00,10.92
12146,21:25:00,07:30:00,10.08
12147,09:05:00,17:10:00,8.08
12148,05:50:00,16:20:00,10.5
12149,20:55:00,03:30:00,6.58
12150,22:55:00,05:30:00,6.58
12151,20:35:00,08:25:00,11.83
12152,21:15:00,07:30:00,10.25
12153,16:25:00,05:20:00,12.92
12154,18:20:00,07:30:00,13.17
12155,21:05:00,08:00:00,10.92
12156,20:55:00,07:05:00,10.17
12157,18:00:00,22:00:00,4.0
12158,06:30:00,10:30:00,4.0
12159,17:45:00,06:55:00,13.17
12160,20:50:00,09:50:00,13.0
12161,16:25:00,13:00:00,20.58
12162,23:35:00,23:00:00,23.42
12163,20:30:00,19:45:00,23.25
12164,06:50:00,06:00:00,23.17
12165,05:23:00,07:05:00,1.7
12166,20:20:00,21:30:00,1.17
12167,00:35:00,03:45:00,3.17
12168,10:25:00,12:25:00,2.0
12169,09:30:00,13:30:00,4.0
12170,14:00:00,18:05:00,4.08
12171,07:55:00,13:15:00,5.33
12172,18:45:00,23:45:00,5.0
12173,16:25:00,19:05:00,2.67
12174,01:50:00,06:00:00,4.17
12175,17:45:00,17:15:00,23.5
12176,07:15:00,06:45:00,23.5
12177,17:45:00,20:20:00,2.58
12178,04:25:00,06:45:00,2.33
12179,15:55:00,21:55:00,6.0
12180,05:50:00,11:45:00,5.92
12181,20:25:00,14:20:00,17.92
12182,15:30:00,08:45:00,17.25
12183,19:20:00,09:00:00,13.67
12184,19:10:00,08:50:00,13.67
12185,22:00:00,08:00:00,10.0
12186,20:05:00,06:05:00,10.0
12187,19:30:00,12:15:00,16.75
12188,13:30:00,06:00:00,16.5
12189,18:10:00,11:40:00,17.5
12190,16:05:00,09:35:00,17.5
12191,14:05:00,07:15:00,17.17
12192,17:30:00,11:50:00,18.33
12193,15:50:00,22:15:00,6.42
12194,06:45:00,13:30:00,6.75
12195,05:05:00,11:50:00,6.75
12196,15:00:00,21:40:00,6.67
12197,15:30:00,00:15:00,8.75
12198,06:20:00,15:00:00,8.67
12201,16:55:00,20:25:00,3.5
12202,08:45:00,11:45:00,3.0
12203,14:55:00,21:05:00,6.17
12204,04:10:00,10:10:00,6.0
12205,23:50:00,05:40:00,5.83
12206,23:35:00,05:20:00,5.75
12207,18:30:00,09:45:00,15.25
12208,23:15:00,14:40:00,15.42
12209,06:15:00,14:50:00,8.58
12210,19:10:00,04:35:00,9.42
12211,15:15:00,12:35:00,21.33
12212,20:55:00,18:05:00,21.17
12213,23:40:00,07:00:00,7.33
12214,23:00:00,07:55:00,8.92
12215,09:20:00,08:10:00,22.83
12216,12:45:00,12:15:00,23.5
12217,09:20:00,15:45:00,6.42
12218,09:30:00,14:45:00,5.25
12219,23:05:00,11:05:00,12.0
12220,23:05:00,11:05:00,12.0
12221,15:15:00,19:40:00,4.42
12222,08:20:00,11:45:00,3.42
12223,20:50:00,17:50:00,21.0
12224,21:30:00,18:15:00,20.75
12225,16:25:00,07:05:00,14.67
12226,19:15:00,09:30:00,14.25
12227,23:15:00,11:05:00,11.83
12228,23:00:00,11:40:00,12.67
12229,22:15:00,07:10:00,8.92
12230,22:05:00,06:45:00,8.67
12231,22:30:00,10:10:00,11.67
12232,21:10:00,08:50:00,11.67
12235,18:15:00,13:55:00,19.67
12236,09:25:00,06:15:00,20.83
12237,12:50:00,11:25:00,22.58
12238,14:00:00,12:40:00,22.67
12239,23:15:00,14:35:00,15.33
12240,19:10:00,11:40:00,16.5
12241,17:10:00,21:25:00,4.25
12242,05:15:00,09:15:00,4.0
12243,07:15:00,14:15:00,7.0
12244,15:25:00,22:15:00,6.83
12245,10:55:00,16:00:00,5.08
12246,11:00:00,16:15:00,5.25
12247,16:35:00,09:40:00,17.08
12248,15:35:00,09:20:00,17.75
12249,18:40:00,11:20:00,16.67
12250,19:50:00,12:40:00,16.83
12251,23:40:00,04:30:00,4.83
12252,08:00:00,13:30:00,5.5
12253,13:30:00,08:30:00,19.0
12254,13:30:00,09:05:00,19.58
12257,21:00:00,13:00:00,16.0
12258,17:00:00,09:30:00,16.5
12259,18:30:00,11:30:00,17.0
12260,19:40:00,12:35:00,16.92
12261,17:15:00,19:40:00,2.42
12262,08:20:00,10:30:00,2.17
12263,11:10:00,06:55:00,19.75
12264,10:55:00,07:10:00,20.25
12265,22:15:00,07:25:00,9.17
12266,19:20:00,04:20:00,9.0
12267,23:25:00,05:55:00,6.5
12268,23:40:00,06:00:00,6.33
12269,06:40:00,10:35:00,3.92
12270,15:45:00,20:10:00,4.42
12273,08:35:00,06:25:00,21.83
12274,12:55:00,10:40:00,21.75
12275,22:40:00,06:25:00,7.75
12276,22:15:00,05:50:00,7.58
12277,14:25:00,21:55:00,7.5
12278,05:45:00,13:40:00,7.92
12279,15:20:00,22:05:00,6.75
12280,07:00:00,14:10:00,7.17
12281,08:00:00,06:25:00,22.42
12282,12:55:00,10:45:00,21.83
12283,23:30:00,19:40:00,20.17
12284,21:35:00,15:40:00,18.08
12285,13:10:00,10:35:00,21.42
12286,15:45:00,14:00:00,22.25
12289,20:15:00,07:20:00,11.08
12290,20:40:00,08:05:00,11.42
12291,22:45:00,05:15:00,6.5
12292,23:30:00,06:00:00,6.5
12293,17:25:00,12:35:00,19.17
12294,19:30:00,14:55:00,19.42
12295,09:00:00,09:05:00,0.08
12296,20:10:00,20:20:00,0.17
12297,22:30:00,07:10:00,8.67
12298,21:35:00,06:20:00,8.75
12301,16:55:00,10:00:00,17.08
12302,16:55:00,09:50:00,16.92
12303,08:05:00,06:05:00,22.0
12304,17:35:00,16:55:00,23.33
12305,14:05:00,10:00:00,19.92
12306,16:55:00,12:15:00,19.33
12307,23:40:00,06:50:00,7.17
12308,20:30:00,04:00:00,7.5
12309,19:00:00,07:40:00,12.67
12310,17:15:00,05:30:00,12.25
12311,19:40:00,04:30:00,8.83
12312,23:55:00,07:55:00,8.0
12313,16:50:00,10:25:00,17.58
12314,16:25:00,10:10:00,17.75
12315,13:10:00,02:45:00,13.58
12316,00:20:00,15:10:00,14.83
12317,07:40:00,17:20:00,9.67
12318,05:55:00,15:15:00,9.33
12319,13:10:00,12:00:00,22.83
12320,17:00:00,17:20:00,0.33
12321,22:00:00,11:25:00,13.42
12322,21:30:00,11:45:00,14.25
12323,18:50:00,17:05:00,22.25
12324,07:05:00,06:00:00,22.92
12325,07:40:00,16:00:00,8.33
12326,06:55:00,15:15:00,8.33
12327,13:00:00,18:10:00,5.17
12328,22:10:00,03:15:00,5.08
12329,13:10:00,11:50:00,22.67
